name,market,sectors,price_hoping,price_real,inv_comp,stock_amount,stock_fund,exec_company,listing_date,percent_newstock,percent_invest,percent_personal,percent_lock_up,capital,company_size,profit
대명에너지,코스닥,건물 건설업,"15,000 ~ 18,000 원",-,NaN,"2,500,000 주","37,500 (백만원)","한국투자증권,삼성증권",2022.05.13,"구주매출 : 500,000 주 (20%)",(70~75%),(25~30%),0.00%,"1,500 (백만원)",중소일반,%
포바이포,코스닥,"영화, 비디오물, 방송프로그램 제작 및 배급업","11,000 ~ 14,000 원",-,NaN,"1,774,967 주","19,524 (백만원)",미래에셋증권,2022.04.28,"구주매출 : 184,967 주 (10.42%)",(70~75%),(25~30%),0.00%,"4,290 (백만원)",중소일반,%
미래에셋비전스팩1호,코스닥,기타 금융업,"2,000 ~ 2,000 원","2,000",NaN,"5,850,000 주","11,700 (백만원)",미래에셋증권,2022.04.21,"신주모집 : 5,850,000 주 (100%)",(70~75%),(25~30%),0.00%,32 (백만원),중소일반,%
키움스팩6호,코스닥,금융 지원 서비스업,"2,000 ~ 2,000 원","2,000",NaN,"3,200,000 주","6,400 (백만원)",키움증권,2022.04.07,"신주모집 : 3,200,000 주 (100%)",(70~75%),(25~30%),0.00%,343 (백만원),중소일반,9%
지투파워,코스닥,"전동기, 발전기 및 전기 변환 공급 제어 장치","13,500 ~ 16,400 원","16,400",1729.63:1,"885,000 주","14,514 (백만원)","한국투자증권,KB증권",2022.04.01,"구주매출 : 148,000 주 (16.72%)",(70~75%),(25~30%),11.16%,"1,843 (백만원)",중소일반,100%
유진스팩8호,코스닥,금융 지원 서비스업,"2,000 ~ 2,000 원","2,000",NaN,"5,000,000 주","10,000 (백만원)",유진증권,2022.03.31,"신주모집 : 5,000,000 주 (100%)",(70~75%),(25~30%),0.00%,592 (백만원),중소일반,5.75%
코람코더원리츠,거래소,비주거용 건물 임대업,"5,000 ~ 5,000 원","5,000",NaN,"19,500,000 주","97,500 (백만원)","하나금융투자,삼성증권",2022.03.28,"신주모집 : 19,500,000 주 (100%)",(70%),(30%),0.00%,"10,450 (백만원)",중소일반,5.2%
세아메카닉스,코스닥,기타 금속 가공제품 제조업,"3,500 ~ 4,000 원","4,400",1812.83:1,"6,650,000 주","29,260 (백만원)",신한금융투자,2022.03.24,"구주매출 : 2,200,000 주 (33.08%)",(65~75%),(25~30%),6.73%,"2,648 (백만원)",중소일반,100%
공구우먼,코스닥,"섬유, 의복, 신발 및 가죽제품 소매업","26,000 ~ 31,000 원","20,000",56.9:1,"1,400,000 주","28,000 (백만원)",미래에셋증권,2022.03.23,"신주모집 : 1,400,000 주 (100%)",(69.29~74.29%),(25~30%),2.65%,367 (백만원),중소일반,8%
유일로보틱스,코스닥,특수 목적용 기계 제조업,"7,600 ~ 9,200 원","10,000",1756.45:1,"2,150,000 주","21,500 (백만원)",한국투자증권,2022.03.18,"신주모집 : 2,150,000 주 (100%)",(64~69%),(25~30%),15.92%,"4,290 (백만원)",중소일반,100%
