name,market,sectors,price_hoping,price_real,inv_comp,stock_amount,stock_fund,exec_company,percent_newstock,percent_lock_up,capital,company_size,profit,name_spac,price_diff,inv_comp_cat,exec_major,exec_quantity,listing_year,listing_month
오스코텍,코스닥,의료용품 및 기타 의약관련제품 제조업,27500.0,9000.0,0.0,1200000.0,10800.0,"대우증권, 신흥증권",100.0,68.39,2323,중소일반,44.44,0.0,18500.0,0.0,0.0,2.0,2006.0,1.0
켐트로닉스,코스닥,기타전자부품제조업,14500.0,9500.0,0.0,970000.0,9215.0,교보증권,100.0,59.9,1604,중소벤쳐,3.16,0.0,5000.0,0.0,0.0,1.0,2006.0,1.0
인포뱅크,코스닥,"기타 소프트웨어 자문, 개발 및 공급업",9500.0,4600.0,0.0,1614000.0,7424.0,동양증권,100.0,0.0,31,중소벤쳐,0.22,0.0,4900.0,0.0,0.0,1.0,2006.0,7.0
사이버패스,코스닥,"기타 소프트웨어 자문, 개발 및 공급업",9250.0,5200.0,0.0,1200000.0,6240.0,교보증권,100.0,0.0,3351,중소벤쳐,-6.54,0.0,4050.0,0.0,0.0,1.0,2006.0,7.0
맥스엔지니어링,코스닥,그외 기타 의료용 기기 제조업,5750.0,2900.0,0.0,1224100.0,3550.0,한화증권,100.0,0.0,1425,중소벤쳐,47.76,0.0,2850.0,0.0,0.0,1.0,2006.0,7.0
팬엔터테인먼트,코스닥,방송프로그램 제작업,11250.0,7000.0,0.0,1286000.0,9002.0,NH투자증권,100.0,0.0,1500,중소벤쳐,41.43,0.0,4250.0,0.0,1.0,1.0,2006.0,7.0
미디어플렉스,코스닥,영화 배급업,37500.0,24000.0,0.0,1882640.0,45183.0,한국투자증권,100.0,99.72,21887,중소일반,56.25,0.0,13500.0,0.0,1.0,1.0,2006.0,7.0
한국전자금융,코스닥,경비업,32500.0,20500.0,0.0,800000.0,16400.0,현대증권,100.0,99.66,9000,중소일반,60.73,0.0,12000.0,0.0,0.0,1.0,2006.0,7.0
엑스씨이,코스닥,"기타 소프트웨어 자문, 개발 및 공급업",11750.0,7500.0,0.0,800000.0,6000.0,동양증권,100.0,63.78,1600,중소벤쳐,-8.0,0.0,4250.0,0.0,0.0,1.0,2006.0,7.0
티엘아이,코스닥,전자집적회로 제조업,19500.0,11400.0,0.0,987500.0,11258.0,미래에셋증권,100.0,32.1,2508,중소벤쳐,-3.51,0.0,8100.0,0.0,1.0,1.0,2006.0,7.0
